name|picture|input|damage|guard|startup|active|recovery|onBlock|onHit|riscGain|riscLoss|level|counter|invul|prorate
j.H|https://dustloop.com/wiki/images/thumb/1/14/GGST_Potemkin_j.H.png/210px-GGST_Potemkin_j.H.png|j.H|55|High|12|4|16|||1875|1000|4|Mid||80%
j.D|https://dustloop.com/wiki/images/thumb/f/f3/GGST_Potemkin_j.D.png/210px-GGST_Potemkin_j.D.png|j.D|50|All|13|Until Landing|9 After landing|||2000|1000|3|Mid||80%
Hammer Fall|https://dustloop.com/wiki/images/thumb/3/37/GGST_Potemkin_Hammer_Fall.png/210px-GGST_Potemkin_Hammer_Fall.png|[4]6H|58|All|18~62|2f|26|-9|SKD (+22)|2500|1000||Mid||80%
Hammer Fall Break|https://dustloop.com/wiki/images/thumb/9/9e/GGST_Potemkin_Air_Throw.png/210px-GGST_Potemkin_Air_Throw.png|[4]6H P|N/A|N/A|||27||||||||
Potemkin Buster|https://dustloop.com/wiki/images/thumb/a/ab/GGST_Potemkin_Potemkin_Buster.png/210px-GGST_Potemkin_Potemkin_Buster.png|632146P|175|Ground Throw|5|4|37||||2500|||1 ~ 8F Throw|50%
Heat Knuckle|https://dustloop.com/wiki/images/thumb/d/d0/GGST_Potemkin_Heat_Knuckle_1.png/206px-GGST_Potemkin_Heat_Knuckle_1.png|623H|"0.8×7.60"|Air Guard Crush|12|4|18|+10~+1|KD/Wall Break|3750|2500||Very Small||50%
Mega Fist|https://dustloop.com/wiki/images/thumb/9/9e/GGST_Potemkin_Mega_Fist.png/197px-GGST_Potemkin_Mega_Fist.png|236P|50|High|25|7|16|-6|-2|1500|1000|3|Mid||80%
Back Mega Fist|https://dustloop.com/wiki/images/thumb/9/9e/GGST_Potemkin_Mega_Fist.png/197px-GGST_Potemkin_Mega_Fist.png|214P|50|High|25|7|6|4|8|1500|1000|3|Mid||80%
Kara Mega Fist|https://dustloop.com/wiki/images/thumb/9/9e/GGST_Potemkin_Mega_Fist.png/197px-GGST_Potemkin_Mega_Fist.png|2146K~P|80|High|26-27|7|12|-2|2|1500|1000|3|Mid||80%
Slide Head|https://dustloop.com/wiki/images/thumb/9/90/GGST_Potemkin_Slide_Head.png/210px-GGST_Potemkin_Slide_Head.png|236S|0|Low (Guard Crush)|29|2|28|0|KD|375|1000|4|Very Small||80%
F.D.B.|https://dustloop.com/wiki/images/thumb/c/cf/GGST_Potemkin_FDB.png/210px-GGST_Potemkin_FDB.png|63214S|55 [75]|All|21~38 [38]|3|20|-6|KD|2000|1000|3|Mid|4 ~ [20~37F] Reflect|100%
Reflect Projectile|https://dustloop.com/wiki/images/thumb/f/f2/GGST_Potemkin_FDB_Reflect.png/210px-GGST_Potemkin_FDB_Reflect.png|Reflect Projectile|50|All|1|||11|SKD (+46)|500|1000|3|Very Small||80%
Garuda Impact|https://dustloop.com/wiki/images/thumb/1/1b/GGST_Potemkin_Garuda_Impact.png/210px-GGST_Potemkin_Garuda_Impact.png|214H|63|All (Guard Crush)|28|11|24|19|+17~+35|2500|2000||Large||100%
